referencia,fecha_liquidacion,monto,estado
PX-10382,2026-06-08,247953.77,OK
PX-10140,2026-06-29,127434.56,OK
PX-10014,2026-04-22,231666.26,OK
PX-10259,2026-05-26,65617.24,OK
PX-10514,2026-06-23,"200677,93",FALLIDA
PX-10175,2026-06-02,202268.68,OK
PX-10823,2026-04-23,180789.25,FALLIDA
PX-10799,2026-05-08,54757.07,FALLIDA
PX-10015,2026-06-11,47879.52,OK
PX-10841,2026-04-26,67657.42,OK
PX-10278,2026-05-04,87945.05,OK
PX-10715,2026-05-10,85285.65,OK
PX-10662,2026-05-29,173770.44,OK
PX-10681,2026-04-28,11848.44,OK
PX-10070,2026-05-24,205227.09,OK
PX-11138,2026-05-02,245262.25,OK
PX-10816,2026-06-07,"149988,84",OK
PX-10959,2026-05-27,51408.46,OK
PX-10631,2026-06-27,132056.04,OK
PX-10884,2026-04-28,224736.61,OK
PX-11011,2026-06-11,171499.21,OK
PX-10049,2026-04-24,85414.55,OK
PX-11030,2026-04-21,221705.51,FALLIDA
PX-10646,2026-06-04,107939.81,OK
PX-10191,2026-05-31,78574.04,FALLIDA
PX-10731,2026-04-26,50396.44,OK
PX-10347,2026-05-07,"128820,11",OK
PX-10901,2026-05-25,44572.95,OK
PX-10653,2026-04-22,165213.95,FALLIDA
PX-10601,2026-05-11,225193.43,OK
PX-10162,2026-05-08,86917.70,OK
PX-10163,2026-06-08,34749.60,OK
PX-11104,2026-04-21,"101211,75",OK
PX-10090,2026-06-18,54708.79,OK
PX-10348,2026-04-25,42265.00,OK
PX-10063,2026-05-12,57616.64,FALLIDA
PX-10458,2026-05-30,"172643,26",OK
PX-10764,2026-05-22,"87409,32",FALLIDA
PX-10475,2026-05-07,"75420,85",OK
PX-10305,2026-05-22,"180360,16",FALLIDA
PX-10025,2026-06-25,40219.86,OK
PX-10943,2026-04-08,"11408,00",OK
PX-10837,2026-06-27,229827.98,OK
PX-10762,2026-05-18,"128971,04",OK
PX-10226,2026-05-10,127950.80,OK
PX-10557,2026-06-25,85001.77,OK
PX-10520,2026-04-23,135387.72,OK
PX-10589,2026-06-02,"165189,61",OK
PX-10978,2026-06-03,248272.77,OK
PX-10352,2026-04-03,"160534,98",OK
PX-10280,2026-06-16,"108115,17",OK
PX-10912,2026-06-27,76259.58,OK
PX-10451,2026-04-19,219992.91,OK
PX-10747,2026-05-13,39103.75,OK
PX-10296,2026-05-22,"43847,47",OK
PX-10695,2026-05-30,"85234,31",OK
PX-10877,2026-04-17,"238330,73",OK
PX-10824,2026-04-20,92475.68,OK
PX-10203,2026-04-11,24872.60,OK
PX-11057,2026-06-19,150092.26,FALLIDA
PX-10176,2026-06-11,"180958,38",OK
PX-11066,2026-06-21,168483.04,FALLIDA
PX-10538,2026-05-31,184176.63,OK
PX-10201,2026-05-11,188187.49,OK
PX-10526,2026-04-09,81396.62,OK
PX-10135,2026-06-12,237231.47,OK
PX-10358,2026-04-07,73017.84,OK
PX-10327,2026-06-26,"244484,94",OK
PX-10556,2026-06-08,101438.30,OK
PX-10716,2026-06-12,245052.94,OK
PX-11047,2026-05-09,173717.16,OK
PX-10171,2026-05-04,16000.02,OK
PX-10401,2026-04-20,105669.41,FALLIDA
PX-10860,2026-04-15,247065.53,FALLIDA
PX-10779,2026-04-13,249988.57,OK
PX-10565,2026-06-14,56517.80,OK
PX-10413,2026-04-14,181913.21,OK
PX-10561,2026-06-11,"185511,16",OK
PX-10338,2026-04-08,188521.69,OK
PX-11119,2026-05-24,"180526,14",OK
PX-10435,2026-04-08,104422.17,FALLIDA
PX-10541,2026-05-29,244116.98,OK
PX-10008,2026-04-08,214979.03,OK
PX-10292,2026-04-05,172783.18,OK
PX-10647,2026-05-14,224131.27,FALLIDA
PX-11000,2026-06-01,230346.98,OK
PX-10543,2026-05-08,197029.12,FALLIDA
PX-11082,2026-05-05,233615.33,OK
PX-10132,2026-05-27,173171.09,OK
PX-10530,2026-05-15,48379.76,FALLIDA
PX-10613,2026-04-17,113146.73,OK
PX-10975,2026-04-13,7323.86,FALLIDA
PX-10776,2026-04-16,242459.38,OK
PX-10012,2026-05-30,111061.12,OK
PX-10903,2026-06-03,87234.46,OK
PX-11037,2026-04-02,171731.51,OK
PX-10934,2026-04-04,"94718,42",OK
PX-10303,2026-06-16,120706.24,OK
PX-10584,2026-06-20,207662.96,OK
PX-10301,2026-06-22,212970.75,OK
PX-10750,2026-05-03,"158927,45",OK
PX-10152,2026-05-17,13263.84,OK
PX-10744,2026-04-11,117943.01,OK
PX-10300,2026-06-13,169584.96,OK
PX-10515,2026-05-01,130228.10,FALLIDA
PX-10881,2026-06-20,239545.31,OK
PX-10687,2026-05-06,247991.86,OK
PX-10882,2026-06-07,45386.11,OK
PX-10641,2026-04-09,222340.58,OK
PX-10976,2026-04-01,92700.37,FALLIDA
PX-11099,2026-06-15,41139.31,FALLIDA
PX-10128,2026-04-18,203470.46,OK
PX-10445,2026-06-11,230618.89,OK
PX-10564,2026-05-30,50214.76,OK
PX-10857,2026-04-22,119137.09,OK
PX-10456,2026-06-17,98840.60,OK
PX-10808,2026-05-25,120308.16,OK
PX-10029,2026-05-15,151749.11,OK
PX-10089,2026-06-25,"147041,42",FALLIDA
PX-10867,2026-05-19,237662.60,OK
PX-10088,2026-04-18,"29472,06",OK
PX-10728,2026-04-22,73889.09,OK
PX-99004,2026-05-05,60440.98,OK
PX-11141,2026-04-18,77801.41,OK
PX-10519,2026-05-13,"44893,41",FALLIDA
PX-10995,2026-04-14,99638.48,OK
PX-10105,2026-04-01,191158.14,OK
PX-10092,2026-06-07,"112344,67",OK
PX-10782,2026-05-25,"12018,48",FALLIDA
PX-11132,2026-05-11,189262.84,FALLIDA
,2026-05-11,2000.00,OK
PX-10909,2026-05-03,"75632,94",OK
PX-10219,2026-05-04,"111721,75",OK
PX-10225,2026-04-23,"229711,30",OK
PX-10279,2026-06-23,18890.49,OK
PX-10006,2026-06-28,248789.76,OK
PX-11010,2026-06-07,238862.35,OK
PX-11091,2026-06-07,4542.22,OK
PX-10374,2026-06-19,181184.61,OK
PX-10765,2026-05-28,"61217,32",FALLIDA
PX-10778,2026-04-16,"6245,18",OK
PX-10697,2026-04-17,105541.25,OK
PX-10192,2026-05-04,74150.48,OK
PX-10087,2026-05-12,159033.28,OK
PX-10116,2026-06-07,"149512,99",OK
PX-11098,2026-05-19,95413.93,OK
PX-10084,2026-06-09,207702.92,FALLIDA
PX-10603,2026-06-07,59900.18,FALLIDA
PX-10177,2026-04-05,"191574,01",OK
PX-10187,2026-04-25,"218468,30",OK
PX-10021,2026-05-09,"66484,25",OK
PX-10285,2026-04-24,47052.44,OK
PX-10928,2026-05-25,30471.56,OK
PX-11077,2026-04-23,237883.21,FALLIDA
PX-10849,2026-04-17,93733.93,OK
PX-10377,2026-04-17,"224293,75",OK
PX-10232,2026-06-12,81251.58,OK
PX-11109,2026-04-26,"201459,15",OK
PX-10127,2026-04-03,60660.92,OK
PX-10231,2026-06-15,41912.41,OK
PX-10005,2026-04-17,66631.63,OK
PX-10032,2026-04-17,169490.83,OK
PX-10573,2026-04-23,55978.28,OK
PX-10542,2026-05-18,215165.47,FALLIDA
PX-10095,2026-06-19,95535.65,OK
PX-10036,2026-05-29,"179727,31",OK
PX-10394,2026-05-02,19469.19,OK
PX-10494,2026-04-23,29023.55,OK
PX-10751,2026-05-02,157922.70,OK
PX-10410,2026-06-16,"47548,46",OK
PX-10334,2026-06-20,171809.52,OK
PX-10920,2026-05-02,155411.99,FALLIDA
PX-10921,2026-04-17,"201966,52",OK
PX-10535,2026-05-12,217536.63,OK
PX-11025,2026-04-12,54954.59,FALLIDA
PX-10022,2026-06-17,172030.53,OK
PX-10560,2026-05-17,92722.68,OK
PX-10028,2026-05-13,45052.67,OK
PX-10864,2026-04-15,44635.34,OK
PX-10518,2026-05-25,"64705,48",OK
PX-10723,2026-06-19,"227752,86",OK
PX-10214,2026-06-02,94325.80,OK
PX-10298,2026-06-27,"148713,88",FALLIDA
PX-10341,2026-05-08,47150.66,OK
PX-10075,2026-04-30,190212.24,OK
PX-10339,2026-06-11,59780.07,OK
PX-11131,2026-04-12,79475.27,FALLIDA
PX-11044,2026-06-19,10639.92,OK
PX-10887,2026-05-30,9733.54,OK
PX-10644,2026-04-12,50271.31,OK
PX-10974,2026-04-29,"247206,99",FALLIDA
PX-10288,2026-04-25,"247075,84",FALLIDA
PX-10440,2026-04-07,"217253,71",OK
PX-10217,2026-06-09,27787.67,FALLIDA
PX-10194,2026-06-22,236324.43,OK
PX-10102,2026-06-21,94360.50,OK
PX-11058,2026-06-10,114713.34,OK
PX-10072,2026-04-25,"58673,83",OK
PX-10939,2026-04-05,221935.90,OK
PX-10234,2026-05-02,190487.66,OK
PX-10241,2026-06-22,"152774,65",OK
PX-10424,2026-05-20,191550.66,OK
PX-99000,2026-05-01,31701.90,OK
PX-10324,2026-06-25,"37711,55",OK
PX-10804,2026-05-26,28111.08,OK
PX-10999,2026-05-05,136624.39,OK
PX-10038,2026-06-18,207727.01,FALLIDA
PX-10418,2026-04-02,172257.43,OK
PX-10406,2026-06-23,"184529,51",OK
PX-10074,2026-05-11,218159.56,OK
PX-10546,2026-06-14,"80455,72",OK
PX-10432,2026-05-06,24024.64,OK
PX-10682,2026-05-14,68616.78,OK
PX-11124,2026-06-25,"105707,69",FALLIDA
PX-10255,2026-06-09,6465.61,OK
PX-10944,2026-04-17,164319.28,FALLIDA
PX-10507,2026-06-28,15723.73,OK
PX-10141,2026-05-10,131661.07,OK
PX-10551,2026-04-09,208819.41,OK
PX-10960,2026-04-14,"127943,64",OK
PX-10698,2026-04-08,"128524,87",OK
PX-10004,2026-05-18,149936.67,OK
PX-10123,2026-05-31,112426.07,OK
PX-10602,2026-05-21,28427.12,FALLIDA
PX-10290,2026-04-14,216935.08,FALLIDA
PX-11002,2026-05-26,"130858,79",OK
PX-10550,2026-04-03,118739.28,OK
PX-10619,2026-04-17,35878.04,OK
PX-10139,2026-05-11,"137624,29",OK
PX-10850,2026-04-06,175086.45,OK
PX-10611,2026-06-10,190612.87,OK
PX-10381,2026-05-19,102506.85,OK
PX-10489,2026-04-30,228258.97,OK
PX-10614,2026-04-29,226757.77,OK
PX-10184,2026-05-11,"75322,18",OK
PX-10661,2026-06-21,183063.38,OK
PX-10576,2026-04-13,147106.96,OK
PX-10930,2026-05-16,87534.10,OK
PX-10407,2026-06-07,227276.33,OK
PX-10803,2026-05-17,27619.40,OK
PX-10749,2026-06-15,248121.88,FALLIDA
PX-10640,2026-05-22,58360.49,OK
PX-11128,2026-05-24,87152.46,FALLIDA
PX-11108,2026-05-03,239247.89,OK
PX-10109,2026-05-14,19556.65,OK
PX-10678,2026-04-30,61955.87,OK
PX-10875,2026-06-09,231682.50,OK
PX-10216,2026-06-28,168407.92,OK
PX-10309,2026-05-10,"93234,77",OK
PX-11129,2026-04-05,"167432,56",OK
PX-10314,2026-04-17,"101146,67",OK
PX-10553,2026-04-30,37510.41,FALLIDA
PX-10885,2026-04-28,143700.13,OK
PX-11038,2026-04-07,151107.19,OK
PX-10460,2026-04-26,173083.50,OK
PX-10457,2026-04-05,206839.02,FALLIDA
PX-10781,2026-06-28,200227.99,OK
PX-10436,2026-06-17,"14004,92",OK
PX-10282,2026-05-09,"143156,57",OK
PX-11001,2026-04-22,35396.41,OK
PX-10673,2026-04-03,6502.21,OK
PX-10548,2026-05-08,47494.22,OK
PX-10615,2026-04-07,"37738,17",OK
PX-10450,2026-05-26,79715.30,FALLIDA
PX-10476,2026-05-23,"141453,19",OK
PX-10933,2026-04-09,"9835,86",OK
PX-99005,2026-05-06,27408.81,OK
PX-11126,2026-06-02,151853.64,OK
PX-10452,2026-05-06,33320.70,FALLIDA
PX-10815,2026-05-03,"112396,31",FALLIDA
PX-10113,2026-04-11,62312.06,OK
PX-10376,2026-06-17,219499.28,OK
PX-10328,2026-06-19,120741.45,OK
PX-10224,2026-06-13,91765.36,OK
PX-10061,2026-04-10,148963.49,FALLIDA
PX-11107,2026-04-15,34034.15,OK
PX-10926,2026-04-19,128122.99,OK
PX-10295,2026-05-23,205343.84,OK
PX-10502,2026-06-05,96486.32,OK
PX-10753,2026-04-12,99717.91,FALLIDA
PX-10313,2026-04-08,190417.72,OK
PX-10393,2026-06-26,103400.28,OK
PX-10623,2026-04-06,114711.05,OK
PX-10738,2026-04-30,77557.73,OK
PX-10470,2026-05-23,153207.41,OK
PX-10209,2026-05-20,143204.13,OK
PX-11093,2026-06-27,"113096,50",OK
PX-10256,2026-05-13,212326.99,OK
PX-10153,2026-06-04,206415.17,OK
PX-10771,2026-04-29,79323.59,OK
PX-10188,2026-04-28,76145.41,OK
PX-10319,2026-06-19,163565.12,FALLIDA
PX-10854,2026-05-19,197495.00,OK
PX-10066,2026-05-13,165814.59,OK
PX-10390,2026-05-21,184362.92,OK
PX-10266,2026-04-06,205510.51,OK
PX-10333,2026-04-18,210847.07,OK
PX-10496,2026-06-24,221871.75,OK
PX-10117,2026-04-22,"91392,70",FALLIDA
PX-10724,2026-05-23,188971.52,OK
PX-11080,2026-05-11,231924.10,OK
PX-10081,2026-04-07,194047.37,OK
PX-10586,2026-04-26,126446.29,OK
PX-10080,2026-06-13,244497.15,OK
PX-10608,2026-05-09,74707.01,OK
PX-10604,2026-05-20,54893.09,OK
PX-10932,2026-04-06,"58310,23",OK
PX-10923,2026-06-19,508.91,OK
PX-10590,2026-05-12,32485.42,OK
PX-10094,2026-05-25,18835.93,OK
PX-10148,2026-06-09,61597.04,OK
PX-10996,2026-05-10,24299.56,FALLIDA
PX-10713,2026-06-06,180766.33,OK
PX-10913,2026-04-28,"13771,72",OK
PX-10977,2026-06-06,229539.80,FALLIDA
PX-10059,2026-05-04,43866.48,OK
PX-11071,2026-04-30,99923.56,OK
PX-10302,2026-06-19,128122.67,OK
PX-10461,2026-04-21,192180.95,OK
PX-10702,2026-05-27,11454.25,OK
PX-10668,2026-06-25,"225110,98",OK
PX-10126,2026-05-01,890.30,OK
PX-10223,2026-04-30,160299.48,OK
PX-99002,2026-05-03,20424.58,OK
PX-10517,2026-06-12,63707.27,FALLIDA
PX-10993,2026-06-15,196300.55,OK
PX-10155,2026-04-05,130073.51,FALLIDA
PX-10485,2026-06-25,"68772,40",FALLIDA
PX-10971,2026-04-24,38500.47,OK
PX-10161,2026-04-27,120210.95,FALLIDA
PX-10399,2026-04-27,91586.96,OK
PX-10103,2026-06-12,39317.19,OK
PX-10886,2026-04-26,124913.42,OK
PX-10719,2026-04-27,40115.92,OK
PX-10951,2026-06-10,214699.27,OK
PX-10408,2026-05-17,3133.68,OK
PX-11084,2026-06-24,6407.91,OK
PX-10002,2026-05-19,242784.06,OK
PX-10679,2026-05-28,"195828,96",OK
PX-10111,2026-04-10,"116256,29",OK
PX-10918,2026-04-13,"126201,89",OK
PX-10133,2026-05-25,136595.86,OK
PX-10802,2026-05-23,"39329,78",OK
PX-10322,2026-04-15,194600.75,FALLIDA
PX-11033,2026-05-25,87043.36,FALLIDA
PX-11049,2026-06-21,5009.19,OK
PX-10078,2026-04-19,115162.84,FALLIDA
PX-10147,2026-06-22,"191856,27",OK
PX-10144,2026-04-29,211560.46,OK
PX-10257,2026-05-24,"23710,15",FALLIDA
PX-10825,2026-04-23,162067.29,OK
PX-10315,2026-05-18,4970.07,OK
PX-10235,2026-06-20,158590.13,OK
PX-10402,2026-05-16,193798.72,OK
PX-10136,2026-05-17,62778.11,OK
PX-10387,2026-06-18,"236456,11",OK
PX-11040,2026-04-01,49804.46,OK
PX-10819,2026-05-05,"11880,31",OK
PX-10004,2026-05-13,"3.000,50",PENDIENTE
PX-10397,2026-06-06,3449.08,FALLIDA
PX-10595,2026-06-14,17283.81,OK
PX-10165,2026-04-01,163396.75,OK
PX-10569,2026-04-18,90610.28,FALLIDA
PX-10034,2026-04-28,164883.26,OK
PX-10260,2026-05-12,19134.52,OK
PX-10031,2026-06-24,127027.06,OK
PX-10537,2026-05-24,221659.04,OK
PX-10924,2026-04-14,97983.12,OK
PX-10969,2026-05-08,148073.76,FALLIDA
PX-10459,2026-06-04,98570.15,OK
PX-10248,2026-06-08,77887.29,FALLIDA
PX-10607,2026-06-24,63619.23,OK
PX-10125,2026-06-21,209253.59,OK
PX-11048,2026-05-07,5170.38,OK
PX-10587,2026-04-05,96215.65,OK
PX-10318,2026-06-15,177921.97,OK
PX-99011,2026-05-12,13535.75,OK
PX-10018,2026-04-17,79386.21,OK
PX-10592,2026-06-22,217300.52,OK
PX-10160,2026-06-18,139742.62,FALLIDA
PX-10710,2026-04-23,"90093,69",OK
PX-10852,2026-05-26,79662.56,OK
PX-10210,2026-05-05,"108951,73",OK
PX-11117,2026-05-16,"140939,31",OK
PX-10980,2026-06-28,108627.72,OK
PX-10010,2026-05-26,216027.27,OK
PX-10154,2026-05-21,188863.81,OK
PX-11089,2026-06-07,193139.13,FALLIDA
PX-10726,2026-05-22,63026.13,OK
PX-10563,2026-05-13,22567.85,FALLIDA
PX-10842,2026-04-06,2615.44,OK
PX-11133,2026-06-22,99793.82,OK
PX-11121,2026-04-18,51854.86,OK
PX-10053,2026-04-25,48289.47,OK
PX-10989,2026-06-08,236995.51,OK
PX-10425,2026-04-15,11422.43,OK
PX-10017,2026-06-19,233709.21,FALLIDA
PX-10756,2026-06-02,"141989,49",OK
PX-10567,2026-05-06,145475.91,FALLIDA
PX-10894,2026-05-23,130680.04,OK
PX-10701,2026-05-19,91022.88,OK
PX-10559,2026-06-22,195430.20,OK
PX-10493,2026-05-14,196198.84,OK
PX-10906,2026-05-04,148704.29,OK
PX-10083,2026-04-05,22988.28,OK
PX-10500,2026-04-25,"210070,69",FALLIDA
PX-10351,2026-05-03,"227791,15",OK
PX-11027,2026-05-16,188135.27,OK
PX-11088,2026-06-15,109846.17,OK
PX-10523,2026-06-20,221360.93,OK
PX-10893,2026-05-19,146071.57,OK
PX-10233,2026-06-26,"229732,79",FALLIDA
PX-10676,2026-05-04,13443.59,OK
PX-10866,2026-04-14,"26366,99",OK
PX-11073,2026-06-10,183467.64,FALLIDA
PX-99010,2026-05-11,29749.02,OK
PX-10067,2026-05-23,"155847,15",OK
PX-10228,2026-06-19,121409.93,OK
PX-10320,2026-04-16,51770.98,OK
PX-10869,2026-06-16,60836.86,OK
PX-10703,2026-06-26,"84926,63",OK
PX-10055,2026-05-06,174505.64,FALLIDA
PX-10129,2026-06-01,16243.58,OK
PX-11113,2026-04-05,3422.27,FALLIDA
PX-10340,2026-04-07,241475.39,OK
PX-10575,2026-04-05,117536.04,OK
PX-10610,2026-05-13,206188.02,OK
PX-11136,2026-05-08,209563.71,OK
PX-11043,2026-05-09,89632.50,OK
PX-10480,2026-05-09,194558.70,OK
PX-10145,2026-06-20,125892.00,FALLIDA
PX-10156,2026-05-11,148634.30,OK
PX-11074,2026-04-08,116335.69,OK
PX-99009,2026-05-10,77945.66,OK
PX-10268,2026-06-22,"15714,28",OK
PX-11142,2026-04-16,182729.90,OK
PX-11060,2026-05-27,125303.63,OK
PX-10916,2026-05-10,201192.87,OK
PX-10026,2026-04-29,87739.78,FALLIDA
PX-10711,2026-04-11,30087.68,OK
PX-10571,2026-06-10,104627.89,OK
PX-10831,2026-04-10,194557.12,OK
PX-10908,2026-04-19,113427.77,FALLIDA
PX-10836,2026-05-07,151241.31,OK
PX-10110,2026-05-15,59449.08,OK
PX-10972,2026-05-19,"236219,64",OK
PX-10868,2026-05-21,127136.42,OK
PX-10973,2026-04-27,"25316,90",OK
PX-10349,2026-04-27,216305.24,OK
PX-10138,2026-04-26,113284.65,OK
PX-10346,2026-05-02,95652.47,OK
PX-10472,2026-05-16,130166.60,OK
PX-11070,2026-06-01,85920.57,OK
PX-10935,2026-04-12,51283.13,FALLIDA
PX-10994,2026-04-26,94456.89,OK
PX-10269,2026-05-02,247356.20,OK
PX-10013,2026-04-02,41994.62,OK
PX-10768,2026-04-29,28289.94,OK
PX-10558,2026-06-10,154571.74,OK
PX-10035,2026-05-01,"37264,81",FALLIDA
PX-10736,2026-06-16,63359.07,OK
PX-10065,2026-05-26,117767.59,OK
PX-10361,2026-05-11,"69531,62",OK
PX-10536,2026-04-07,"44926,16",OK
PX-10434,2026-05-12,"149010,19",OK
PX-11145,2026-04-23,125070.61,OK
PX-10033,2026-04-01,196546.83,OK
PX-10752,2026-06-17,62229.99,OK
PX-10479,2026-04-05,219323.66,OK
PX-10946,2026-05-05,13972.38,OK
PX-11013,2026-04-13,151890.22,OK
PX-10284,2026-05-31,118000.64,OK
PX-10780,2026-06-02,188500.30,FALLIDA
PX-10215,2026-04-26,"238274,65",OK
PX-10967,2026-06-10,32036.29,OK
PX-10617,2026-06-26,198219.65,FALLIDA
PX-10633,2026-05-03,28926.91,OK
PX-10945,2026-05-16,235386.03,OK
PX-10469,2026-04-09,73561.76,OK
PX-10086,2026-06-11,3972.70,OK
PX-10242,2026-05-20,62322.70,OK
PX-10547,2026-04-09,125611.80,OK
PX-10817,2026-04-08,124008.96,OK
PX-10941,2026-06-01,174012.41,OK
PX-10629,2026-05-26,225981.70,OK
PX-10790,2026-05-07,"224194,28",FALLIDA
PX-10741,2026-05-02,"152211,77",OK
PX-10666,2026-06-13,195446.66,OK
PX-10270,2026-05-15,67973.70,OK
PX-10708,2026-05-03,74114.48,OK
PX-99014,2026-05-15,87603.99,OK
PX-10454,2026-04-05,"237574,41",OK
PX-11016,2026-06-18,224485.25,FALLIDA
PX-10272,2026-04-08,89023.76,OK
PX-11118,2026-04-20,69966.13,FALLIDA
PX-10183,2026-06-20,12197.58,OK
PX-10420,2026-04-18,"176803,18",OK
PX-10696,2026-06-15,148996.19,FALLIDA
PX-11063,2026-05-22,107432.84,OK
PX-10252,2026-05-18,223519.97,OK
PX-10429,2026-06-08,142734.40,OK
PX-10071,2026-06-02,86608.42,OK
PX-11120,2026-05-21,148058.39,OK
PX-10664,2026-05-18,121738.42,OK
PX-10417,2026-04-28,"81466,12",OK
PX-10832,2026-05-20,133352.37,OK
PX-10464,2026-06-09,59850.65,OK
PX-10330,2026-05-29,179306.19,OK
PX-10737,2026-04-09,95901.66,OK
PX-11083,2026-04-08,"243758,95",OK
PX-10953,2026-05-06,84714.32,OK
PX-11125,2026-05-06,105201.52,FALLIDA
PX-10521,2026-06-09,30740.31,FALLIDA
PX-10253,2026-06-10,56516.57,FALLIDA
PX-10438,2026-06-11,140511.32,OK
PX-10356,2026-04-01,76520.44,FALLIDA
